Review Title,Review description,No of stars,Review given by,Date of review
Slow,"Got this to replace my Lenovo Tab 3--This is slllooowwww,also no grand theft auto,even though on my original Fire,,,all bought,,now nowhere?😒operating system,browser,,,stinks...I now only use for podcasts....",3.0,RickMurray666,8 October 2018
Good buy but could be quicker.,"I wanted to upgrade from my previous Kindle Fire HD8 which I bought in Nov 2015. Overall I’m pleased with my new purchase and this eighth generation. But it should be significantly quicker with a faster processor and it is only marginally quicker and some old apps I previously had on my old model no longer seem to be available with the latest update after I restored my back up to the new kindle. But for about £99 and the ease of use when buying everything digital from Amazon and being able to watch Prime Video or Netflix alongside reading books, who can grumble?!",4.0,redwolfsix,12 October 2018
A waste of money,The product is of a robust construction but with the charging dock it's quite heavy. The responce from the device screen is slow and the operating responce is generally unacceptable. The Alexa app is not very responsive and the volume is very low. The device seems a poor Echo Dot with a screen.The sound quality is terrible.My device is not able to find any apps despite having tried everything. A waste of money but for the occasional read as it functions as a good reader. If I hadn't thrown away the box I would have sent it back. What a pity it doesn't function with Android.,1.0,MAC,2 December 2018
Too buggy,"I've had so much trouble with mine. Not being able to log in to twitter, sometimes the screen refusing to sleep and the device going hot and running down the battery as a result. A couple of times it has just refused to work and I've had to let the battery rundown to restart it.Really disappointed because my previous one didnt give me this much trouble and I only replaced it because it was stolen.I only read books on it so it is giving me way more trouble than it should",1.0,Feyi Fawehinmi,10 December 2018
"If the 7's a bit too small or you fancy something fancier, get the 8","Happy with my buy. Bought to replace my 7"" which had developed screen faults*. Was confused size-wise and had actually meant to get another 7, but I don't regret the mistake. The 7 is paperback size, which is very comfortable for reading using the kindle, but I find the 8 is actually nicer for browsing and miles better for watching videos (can actually watch a tv show quite comfortably), whilst still okay for reading. Better for reading Adobe files too, which I do a lot of. Reading on either when outside in bright sunshine is difficult to impossible though, so go for a paper kindle if you really want this.games and apps: Google play store is accessible but not without a minor fiddle around (Google how to do this), so if a wide range of apps is something you want in a tablet, this will do the job if you're up for following simple instructions. Amazon apps also include Netflix and a few others, which android do not, so you can get the best of both worlds.performance: Haven't had problems playing games, pretty sure you could play all but the most demanding. I imagine Minecraft or equivalent would perform fine, rollercoaster tycoon does. Slightly better than the 7 I had, I disagree with the other comments suggesting it is worse than the 7. Still can't stream videos fast enough to watch whilst using Bluetooth simultaneously (this could be my wifi (?), I've also found internet speed affected by bluetooth on some laptops though, so I don't really blame the tablet considering the low specs), but streams fine with Bluetooth off, better than the 7. Can also download an iPlayer 1hr video in a minute or two, on the 7 it would have been much longer.Slicker looking than the 7 I had and no heavier.Biggest con: can't remove some apps I have no use for, such as Alexa (creeps me out), which takes up lots of space. Also only seems to be 10.5 gb when I ordered a 16, which I'm annoyed about, this is where the star is lost.*the 7"" survived well for about 6 months after I had cracked the screen, which is way better than other cheap tablet brands, where a crack means immediate end all- shows the quality of the fire surpasses cheap android equivalents.",4.0,Mat,20 November 2018
I wish I had waited a week during Black Friday Sale.,"To be honest, I wanted to buy the Fire HD 10 Tablet and feel a little duped by Amazon.I bought this on Black Friday Sale thinking that i had the maximum discount only to find that the following FridayI could have bought the Fire HD 10 for approximately the same price as the HD 8.Now, maybe it's me that doesn't understand how the Black Friday sales work, but I could have saved a further £40 - £50 on this itemif I had purchased it a week later, and that annoyed me.The item is a Christmas gift for a friend and knowing how well her HD 7 works I will be generous and give 4 Stars.Amazon have been my shop of choice this year and they are very good at what they do and so, instead of returning this item and awaiting my funds to be credited back, I shall learn my lesson and wait a week next year before I buy any product.",4.0,Rik Sanchez,29 November 2018
"Small, Compact, Lightweight Tablet","I play very few games on my tablet, am very much always at work but I wanted something that I could play a few games on before I go to work or when I come home at night. My old tablet was getting slow and sluggish. This not only arrived a day before it said it would, but it came in all the right packaging, it wasn't damaged or anything like that. It also comes with a nearly half full battery, which meant I didn't have to charge it up straight away. I could hit that on switch and get playing.It runs smoothly, the graphics are really good, and it plays the games I've got really well. Really worth the 79 pounds I paid for it.",5.0,Julie,11 November 2018
Disappointing,"This item may be great value if you don't mind being tied to Amazon but otherwise forget it. You can't even access the Google play store direct from this tablet and mine would not retain the wireless access code for my BT5 hub. Took it back to shop and exchanged it for a Samsung Tab, more expensive but a whole lot better.",1.0,iddychas,3 December 2018
overpriced junk,"The Tablet itself is not a patch on my Hudl2 which I bought over 4 years ago. The docking station is almost useless and apallingly bad value for money. I would recommend no one wastes their money on buying one ! most other tablets are far better value for money. This is my review and as such is my opinion based on subsequent research ,prompted by disappointment.",1.0,freethinker,1 December 2018
"Great Kindle, crap tablet","The Fire HD screen is great for the Kindle app. That's it. The rest of the Fire HD tablet features are a waste as the Fire OS is so limiting. Amazon are trying to create a captive market with this device and it's like using a kid's toy compared to any other tablet The Amazon apps are crap. Maps, Email etc are too basic to be useful in the modern world. Android apps that you can get for the Fire are limited in quantity and quality. No LinkedIn app. No PayPal app. Facebook app doesn't work properly. Silk browser is slow and you can't even replace it with Firefox or Opera. No Indeed or CV Library apps for job seekers. EVEN THE AMAZON STORE APP DOESN'T WORK PROPERLY.You can't disable any Amazon apps that you don't use so they carry on running in the background and slow the performance down. No Google play store so no access to apps that would work on any other Android device.No wonder people are working so hard to work out a way of rooting the Fire HD 8. It's a disappointing tablet that tries to make you but more from its supplier. Come on Amazon. Give us a tablet that works instead of an expensive tea tray.",1.0,Mark Hale,25 December 2018
